model,lag,ljung_box_statistic,p_value
Exponential Smoothing,12,152.1972147959563,2.030465590214324e-26
Exponential Smoothing,24,312.0980225310966,6.0955591789276616e-52
SARIMA,12,46.677867657858556,5.29999373042415e-06
SARIMA,24,59.14536144766591,8.424813391628305e-05
