parameter,estimate,p_value
ar.L1,-0.6825107120057472,3.0907383819548905e-15
ar.L2,-0.3700201587392387,1.861646818187778e-09
ma.L1,-0.22575207058685573,0.004492786256400521
ar.S.L12,0.6393991846075611,6.297900593675881e-06
ar.S.L24,0.3505712100229575,0.012199723715057524
ma.S.L12,0.8624793961742381,0.0009047170976485846
ma.S.L24,-1.2142178969213546,7.113559662513148e-07
sigma2,6.031214823582117,0.0029931002771592403
