model,specification,MAE,RMSE,MAPE_pct
Exponential Smoothing,trend=add; seasonal=mul; damped=True,2.2420191619271486,2.840228030510825,2.1017481008840666
SARIMA,"(2,1,1)x(2,0,2,12)",2.2038356462472692,2.7191978397863052,2.0579765445238936
